Area,Age,Sex,Year,Value,Flags
Lower Hutt City,100 years and over,Female,2013,12,
Waimakariri District,90-94 years,Female,2013,129,
Manurewa Local Board Area,85-89 years,Male,2013,186,
Whakatane District,65-69 years,Female,2013,843,
Hawke's Bay Region,55-59 years,Female,2013,5238,
Porirua City,20-24 years,Male,2013,1551,
Gore District,95-99 years,Male,2013,6,
Hastings District,50-54 years,Male,2013,2601,
Canterbury Region,35-39 years,Male,2013,16734,
Hauraki District,70-74 years,Male,2013,486,
Opotiki District,15-19 years,Female,2013,252,
South Wairarapa District,5-9 years,Female,2013,297,
Hurunui District,40-44 years,Female,2013,462,
Taupo District,15-19 years,Male,2013,1086,
Carterton District,95-99 years,Female,2013,6,
Gisborne Region,85-89 years,Male,2013,171,
Great Barrier Local Board Area,90-94 years,Female,2013,0,
Tauranga City,50-54 years,Male,2013,3588,
Napier City,80-84 years,Female,2013,855,
Kawerau District,35-39 years,Female,2013,174,
Waipa District,45-49 years,Male,2013,1602,
Hauraki District,30-34 years,Female,2013,360,
Kaikoura District,0-4 years,Male,2013,117,
Opotiki District,5-9 years,Female,2013,348,
Tauranga City,65-69 years,Male,2013,2949,
Maungakiekie-Tamaki Local Board Area,90-94 years,Female,2013,165,
Wellington City,100 years and over,Male,2013,6,
Gisborne District,95-99 years,Male,2013,12,
Invercargill City,50-54 years,Female,2013,2007,
Gisborne Region,0-4 years,Female,2013,1719,
Wellington Region,90-94 years,Male,2013,600,
Northland Region,10-14 years,Female,2013,5433,
South Wairarapa District,75-79 years,Female,2013,150,
Selwyn District,45-49 years,Female,2013,1902,
Area Outside Region,95-99 years,Male,2013,0,
Grey District,0-4 years,Female,2013,489,
Carterton District,30-34 years,Male,2013,174,
Waitakere Ranges Local Board Area,15-19 years,Female,2013,1716,
Waitaki District,70-74 years,Male,2013,639,
Western Bay of Plenty District,70-74 years,Male,2013,1143,
Chatham Islands Territory,55-59 years,Female,2013,18,
Ashburton District,70-74 years,Male,2013,678,
Buller District,70-74 years,Male,2013,249,
Manawatu District,90-94 years,Male,2013,51,
Albert-Eden Local Board Area,50-54 years,Male,2013,3126,
Christchurch City,30-34 years,Female,2013,11166,
Hauraki District,5-9 years,Female,2013,531,
Hauraki District,85-89 years,Female,2013,162,
Puketapapa Local Board Area,90-94 years,Female,2013,189,
Horowhenua District,15-19 years,Male,2013,930,
Puketapapa Local Board Area,60-64 years,Male,2013,1305,
Area outside territorial authority,45-49 years,Male,2013,84,
Canterbury Region,80-84 years,Male,2013,5265,
Porirua City,65-69 years,Male,2013,993,
Queenstown-Lakes District,75-79 years,Female,2013,288,
Mackenzie District,5-9 years,Female,2013,135,
Kapiti Coast District,55-59 years,Female,2013,1644,
Waitemata Local Board Area,60-64 years,Female,2013,1893,
Devonport-Takapuna Local Board Area,15-19 years,Male,2013,2091,
Devonport-Takapuna Local Board Area,40-44 years,Female,2013,2316,
Howick Local Board Area,60-64 years,Female,2013,3552,
Dunedin City,0-4 years,Male,2013,3360,
Mackenzie District,45-49 years,Female,2013,195,
Waikato Region,80-84 years,Male,2013,3603,
Franklin Local Board Area,5-9 years,Female,2013,2361,
Hauraki District,75-79 years,Male,2013,375,
Waipa District,35-39 years,Male,2013,1263,
Waimate District,50-54 years,Male,2013,294,
