Area,Highest qualification,Age group,Sex,Value,Flags
Taranaki Region,Bachelor degree and level 7 qualification,15-19 years,Female,3,
Taranaki Region,Post-graduate and honours degrees,15-19 years,Male,0,
Taranaki Region,Post-graduate and honours degrees,15-19 years,Female,0,
Taranaki Region,Masters degree,15-19 years,Male,0,
Taranaki Region,Masters degree,15-19 years,Female,0,
Taranaki Region,Doctorate degree,15-19 years,Male,0,
Taranaki Region,Doctorate degree,15-19 years,Female,0,
Taranaki Region,Overseas secondary school qualification,15-19 years,Male,24,
Taranaki Region,Overseas secondary school qualification,15-19 years,Female,30,
Taranaki Region,Not elsewhere included,15-19 years,Male,384,
Taranaki Region,Not elsewhere included,15-19 years,Female,321,
Manawatu-Wanganui Region,No qualification,15-19 years,Male,2043,
Manawatu-Wanganui Region,No qualification,15-19 years,Female,1695,
Manawatu-Wanganui Region,Level 1 certificate,15-19 years,Male,1824,
Manawatu-Wanganui Region,Level 1 certificate,15-19 years,Female,1698,
Manawatu-Wanganui Region,Level 2 certificate,15-19 years,Male,1803,
Manawatu-Wanganui Region,Level 2 certificate,15-19 years,Female,1653,
Manawatu-Wanganui Region,Level 3 certificate,15-19 years,Male,1230,
Manawatu-Wanganui Region,Level 3 certificate,15-19 years,Female,1776,
Manawatu-Wanganui Region,Level 4 certificate,15-19 years,Male,138,
Manawatu-Wanganui Region,Level 4 certificate,15-19 years,Female,105,
Manawatu-Wanganui Region,Level 5 or level 6 diploma,15-19 years,Male,36,
Manawatu-Wanganui Region,Level 5 or level 6 diploma,15-19 years,Female,66,
Manawatu-Wanganui Region,Bachelor degree and level 7 qualification,15-19 years,Male,3,
Manawatu-Wanganui Region,Bachelor degree and level 7 qualification,15-19 years,Female,12,
Manawatu-Wanganui Region,Post-graduate and honours degrees,15-19 years,Male,0,
Manawatu-Wanganui Region,Post-graduate and honours degrees,15-19 years,Female,3,
Manawatu-Wanganui Region,Masters degree,15-19 years,Male,0,
Manawatu-Wanganui Region,Masters degree,15-19 years,Female,0,
Manawatu-Wanganui Region,Doctorate degree,15-19 years,Male,3,
Manawatu-Wanganui Region,Doctorate degree,15-19 years,Female,0,
Manawatu-Wanganui Region,Overseas secondary school qualification,15-19 years,Male,135,
Manawatu-Wanganui Region,Overseas secondary school qualification,15-19 years,Female,135,
Manawatu-Wanganui Region,Not elsewhere included,15-19 years,Male,873,
Manawatu-Wanganui Region,Not elsewhere included,15-19 years,Female,792,
Wellington Region,No qualification,15-19 years,Male,3303,
Wellington Region,No qualification,15-19 years,Female,2727,
Wellington Region,Level 1 certificate,15-19 years,Male,3300,
Wellington Region,Level 1 certificate,15-19 years,Female,3201,
Wellington Region,Level 2 certificate,15-19 years,Male,3621,
Wellington Region,Level 2 certificate,15-19 years,Female,3273,
Wellington Region,Level 3 certificate,15-19 years,Male,3885,
Wellington Region,Level 3 certificate,15-19 years,Female,5127,
Wellington Region,Level 4 certificate,15-19 years,Male,333,
Wellington Region,Level 4 certificate,15-19 years,Female,216,
Wellington Region,Level 5 or level 6 diploma,15-19 years,Male,144,
Wellington Region,Level 5 or level 6 diploma,15-19 years,Female,150,
Wellington Region,Bachelor degree and level 7 qualification,15-19 years,Male,27,
Wellington Region,Bachelor degree and level 7 qualification,15-19 years,Female,30,
Wellington Region,Post-graduate and honours degrees,15-19 years,Male,3,
Wellington Region,Post-graduate and honours degrees,15-19 years,Female,6,
Wellington Region,Masters degree,15-19 years,Male,3,
Wellington Region,Masters degree,15-19 years,Female,0,
Wellington Region,Doctorate degree,15-19 years,Male,0,
Wellington Region,Doctorate degree,15-19 years,Female,0,
Wellington Region,Overseas secondary school qualification,15-19 years,Male,246,
Wellington Region,Overseas secondary school qualification,15-19 years,Female,249,
Wellington Region,Not elsewhere included,15-19 years,Male,1575,
Wellington Region,Not elsewhere included,15-19 years,Female,1482,
Tasman Region,No qualification,15-19 years,Male,453,
Tasman Region,No qualification,15-19 years,Female,348,
Tasman Region,Level 1 certificate,15-19 years,Male,396,
Tasman Region,Level 1 certificate,15-19 years,Female,306,
Tasman Region,Level 2 certificate,15-19 years,Male,414,
Tasman Region,Level 2 certificate,15-19 years,Female,300,
Tasman Region,Level 3 certificate,15-19 years,Male,108,
Tasman Region,Level 3 certificate,15-19 years,Female,174,
Tasman Region,Level 4 certificate,15-19 years,Male,27,
Tasman Region,Level 4 certificate,15-19 years,Female,21,
Tasman Region,Level 5 or level 6 diploma,15-19 years,Male,9,
Tasman Region,Level 5 or level 6 diploma,15-19 years,Female,6,
Tasman Region,Bachelor degree and level 7 qualification,15-19 years,Male,0,
Tasman Region,Bachelor degree and level 7 qualification,15-19 years,Female,3,
Tasman Region,Post-graduate and honours degrees,15-19 years,Male,0,
Tasman Region,Post-graduate and honours degrees,15-19 years,Female,0,
Tasman Region,Masters degree,15-19 years,Male,0,
Tasman Region,Masters degree,15-19 years,Female,0,
Tasman Region,Doctorate degree,15-19 years,Male,0,
Tasman Region,Doctorate degree,15-19 years,Female,0,
Tasman Region,Overseas secondary school qualification,15-19 years,Male,6,
Tasman Region,Overseas secondary school qualification,15-19 years,Female,15,
Tasman Region,Not elsewhere included,15-19 years,Male,123,
Tasman Region,Not elsewhere included,15-19 years,Female,96,
Nelson Region,No qualification,15-19 years,Male,378,
Nelson Region,No qualification,15-19 years,Female,345,
Nelson Region,Level 1 certificate,15-19 years,Male,375,
Nelson Region,Level 1 certificate,15-19 years,Female,300,
Nelson Region,Level 2 certificate,15-19 years,Male,381,
Nelson Region,Level 2 certificate,15-19 years,Female,309,
Nelson Region,Level 3 certificate,15-19 years,Male,120,
Nelson Region,Level 3 certificate,15-19 years,Female,192,
Nelson Region,Level 4 certificate,15-19 years,Male,30,
Nelson Region,Level 4 certificate,15-19 years,Female,21,
Nelson Region,Level 5 or level 6 diploma,15-19 years,Male,9,
Nelson Region,Level 5 or level 6 diploma,15-19 years,Female,12,
Nelson Region,Bachelor degree and level 7 qualification,15-19 years,Male,0,
Nelson Region,Bachelor degree and level 7 qualification,15-19 years,Female,0,
Nelson Region,Post-graduate and honours degrees,15-19 years,Male,0,
Nelson Region,Post-graduate and honours degrees,15-19 years,Female,0,
Nelson Region,Masters degree,15-19 years,Male,0,
Nelson Region,Masters degree,15-19 years,Female,0,
Nelson Region,Doctorate degree,15-19 years,Male,0,
Nelson Region,Doctorate degree,15-19 years,Female,0,
Nelson Region,Overseas secondary school qualification,15-19 years,Male,15,
Nelson Region,Overseas secondary school qualification,15-19 years,Female,15,
Nelson Region,Not elsewhere included,15-19 years,Male,129,
Nelson Region,Not elsewhere included,15-19 years,Female,150,
Marlborough Region,No qualification,15-19 years,Male,327,
Marlborough Region,No qualification,15-19 years,Female,300,
Marlborough Region,Level 1 certificate,15-19 years,Male,279,
Marlborough Region,Level 1 certificate,15-19 years,Female,303,
Marlborough Region,Level 2 certificate,15-19 years,Male,339,
Marlborough Region,Level 2 certificate,15-19 years,Female,291,
Marlborough Region,Level 3 certificate,15-19 years,Male,111,
Marlborough Region,Level 3 certificate,15-19 years,Female,138,
Marlborough Region,Level 4 certificate,15-19 years,Male,15,
Marlborough Region,Level 4 certificate,15-19 years,Female,6,
Marlborough Region,Level 5 or level 6 diploma,15-19 years,Male,6,
Marlborough Region,Level 5 or level 6 diploma,15-19 years,Female,12,
Marlborough Region,Bachelor degree and level 7 qualification,15-19 years,Male,0,
Marlborough Region,Bachelor degree and level 7 qualification,15-19 years,Female,0,
Marlborough Region,Post-graduate and honours degrees,15-19 years,Male,0,
Marlborough Region,Post-graduate and honours degrees,15-19 years,Female,0,
Marlborough Region,Masters degree,15-19 years,Male,0,
Marlborough Region,Masters degree,15-19 years,Female,0,
Marlborough Region,Doctorate degree,15-19 years,Male,0,
Marlborough Region,Doctorate degree,15-19 years,Female,0,
Marlborough Region,Overseas secondary school qualification,15-19 years,Male,12,
Marlborough Region,Overseas secondary school qualification,15-19 years,Female,9,
Marlborough Region,Not elsewhere included,15-19 years,Male,117,
Marlborough Region,Not elsewhere included,15-19 years,Female,114,
West Coast Region,No qualification,15-19 years,Male,243,
West Coast Region,No qualification,15-19 years,Female,228,
West Coast Region,Level 1 certificate,15-19 years,Male,228,
West Coast Region,Level 1 certificate,15-19 years,Female,234,
West Coast Region,Level 2 certificate,15-19 years,Male,255,
West Coast Region,Level 2 certificate,15-19 years,Female,222,
West Coast Region,Level 3 certificate,15-19 years,Male,72,
West Coast Region,Level 3 certificate,15-19 years,Female,87,
West Coast Region,Level 4 certificate,15-19 years,Male,30,
West Coast Region,Level 4 certificate,15-19 years,Female,12,
West Coast Region,Level 5 or level 6 diploma,15-19 years,Male,6,
West Coast Region,Level 5 or level 6 diploma,15-19 years,Female,9,
West Coast Region,Bachelor degree and level 7 qualification,15-19 years,Male,3,
West Coast Region,Bachelor degree and level 7 qualification,15-19 years,Female,0,
West Coast Region,Post-graduate and honours degrees,15-19 years,Male,0,
West Coast Region,Post-graduate and honours degrees,15-19 years,Female,0,
West Coast Region,Masters degree,15-19 years,Male,0,
West Coast Region,Masters degree,15-19 years,Female,0,
West Coast Region,Doctorate degree,15-19 years,Male,0,
West Coast Region,Doctorate degree,15-19 years,Female,0,
West Coast Region,Overseas secondary school qualification,15-19 years,Male,0,
West Coast Region,Overseas secondary school qualification,15-19 years,Female,9,
West Coast Region,Not elsewhere included,15-19 years,Male,111,
West Coast Region,Not elsewhere included,15-19 years,Female,87,
Canterbury Region,No qualification,15-19 years,Male,4485,
Canterbury Region,No qualification,15-19 years,Female,3648,
Canterbury Region,Level 1 certificate,15-19 years,Male,4239,
