Area,Highest qualification,Age group,Sex,Value,Flags
Otago Region,Doctorate degree,40-44 years,Male,156,
Otago Region,Doctorate degree,40-44 years,Female,114,
Otago Region,Overseas secondary school qualification,40-44 years,Male,288,
Otago Region,Overseas secondary school qualification,40-44 years,Female,369,
Otago Region,Not elsewhere included,40-44 years,Male,555,
Otago Region,Not elsewhere included,40-44 years,Female,483,
Southland Region,No qualification,40-44 years,Male,666,
Southland Region,No qualification,40-44 years,Female,528,
Southland Region,Level 1 certificate,40-44 years,Male,450,
Southland Region,Level 1 certificate,40-44 years,Female,591,
Southland Region,Level 2 certificate,40-44 years,Male,315,
Southland Region,Level 2 certificate,40-44 years,Female,465,
Southland Region,Level 3 certificate,40-44 years,Male,186,
Southland Region,Level 3 certificate,40-44 years,Female,201,
Southland Region,Level 4 certificate,40-44 years,Male,543,
Southland Region,Level 4 certificate,40-44 years,Female,228,
Southland Region,Level 5 or level 6 diploma,40-44 years,Male,225,
Southland Region,Level 5 or level 6 diploma,40-44 years,Female,309,
Southland Region,Bachelor degree and level 7 qualification,40-44 years,Male,240,
Southland Region,Bachelor degree and level 7 qualification,40-44 years,Female,474,
Southland Region,Post-graduate and honours degrees,40-44 years,Male,45,
Southland Region,Post-graduate and honours degrees,40-44 years,Female,99,
Southland Region,Masters degree,40-44 years,Male,39,
Southland Region,Masters degree,40-44 years,Female,39,
Southland Region,Doctorate degree,40-44 years,Male,9,
Southland Region,Doctorate degree,40-44 years,Female,6,
Southland Region,Overseas secondary school qualification,40-44 years,Male,99,
Southland Region,Overseas secondary school qualification,40-44 years,Female,120,
Southland Region,Not elsewhere included,40-44 years,Male,273,
Southland Region,Not elsewhere included,40-44 years,Female,246,
Area Outside Region,No qualification,40-44 years,Male,9,
Area Outside Region,No qualification,40-44 years,Female,9,
Area Outside Region,Level 1 certificate,40-44 years,Male,,c
Area Outside Region,Level 1 certificate,40-44 years,Female,,c
Area Outside Region,Level 2 certificate,40-44 years,Male,,c
Area Outside Region,Level 2 certificate,40-44 years,Female,,c
Area Outside Region,Level 3 certificate,40-44 years,Male,,c
Area Outside Region,Level 3 certificate,40-44 years,Female,,c
Area Outside Region,Level 4 certificate,40-44 years,Male,6,
Area Outside Region,Level 4 certificate,40-44 years,Female,,c
Area Outside Region,Level 5 or level 6 diploma,40-44 years,Male,,c
Area Outside Region,Level 5 or level 6 diploma,40-44 years,Female,,c
Area Outside Region,Bachelor degree and level 7 qualification,40-44 years,Male,,c
Area Outside Region,Bachelor degree and level 7 qualification,40-44 years,Female,,c
Area Outside Region,Post-graduate and honours degrees,40-44 years,Male,,c
Area Outside Region,Post-graduate and honours degrees,40-44 years,Female,,c
Area Outside Region,Masters degree,40-44 years,Male,,c
Area Outside Region,Masters degree,40-44 years,Female,,c
Area Outside Region,Doctorate degree,40-44 years,Male,,c
Area Outside Region,Doctorate degree,40-44 years,Female,,c
Area Outside Region,Overseas secondary school qualification,40-44 years,Male,,c
Area Outside Region,Overseas secondary school qualification,40-44 years,Female,,c
Area Outside Region,Not elsewhere included,40-44 years,Male,,c
Area Outside Region,Not elsewhere included,40-44 years,Female,,c
Northland Region,No qualification,45-49 years,Male,1158,
Northland Region,No qualification,45-49 years,Female,978,
Northland Region,Level 1 certificate,45-49 years,Male,675,
Northland Region,Level 1 certificate,45-49 years,Female,891,
Northland Region,Level 2 certificate,45-49 years,Male,378,
Northland Region,Level 2 certificate,45-49 years,Female,654,
Northland Region,Level 3 certificate,45-49 years,Male,183,
Northland Region,Level 3 certificate,45-49 years,Female,294,
Northland Region,Level 4 certificate,45-49 years,Male,825,
Northland Region,Level 4 certificate,45-49 years,Female,399,
Northland Region,Level 5 or level 6 diploma,45-49 years,Male,366,
Northland Region,Level 5 or level 6 diploma,45-49 years,Female,603,
Northland Region,Bachelor degree and level 7 qualification,45-49 years,Male,348,
Northland Region,Bachelor degree and level 7 qualification,45-49 years,Female,633,
Northland Region,Post-graduate and honours degrees,45-49 years,Male,78,
Northland Region,Post-graduate and honours degrees,45-49 years,Female,168,
Northland Region,Masters degree,45-49 years,Male,57,
Northland Region,Masters degree,45-49 years,Female,75,
Northland Region,Doctorate degree,45-49 years,Male,21,
Northland Region,Doctorate degree,45-49 years,Female,15,
Northland Region,Overseas secondary school qualification,45-49 years,Male,207,
Northland Region,Overseas secondary school qualification,45-49 years,Female,285,
Northland Region,Not elsewhere included,45-49 years,Male,669,
Northland Region,Not elsewhere included,45-49 years,Female,666,
Auckland Region,No qualification,45-49 years,Male,6783,
Auckland Region,No qualification,45-49 years,Female,6567,
Auckland Region,Level 1 certificate,45-49 years,Male,3798,
Auckland Region,Level 1 certificate,45-49 years,Female,5676,
Auckland Region,Level 2 certificate,45-49 years,Male,3735,
Auckland Region,Level 2 certificate,45-49 years,Female,5601,
Auckland Region,Level 3 certificate,45-49 years,Male,2478,
Auckland Region,Level 3 certificate,45-49 years,Female,2628,
Auckland Region,Level 4 certificate,45-49 years,Male,6285,
Auckland Region,Level 4 certificate,45-49 years,Female,2622,
Auckland Region,Level 5 or level 6 diploma,45-49 years,Male,3972,
Auckland Region,Level 5 or level 6 diploma,45-49 years,Female,5103,
Auckland Region,Bachelor degree and level 7 qualification,45-49 years,Male,7569,
Auckland Region,Bachelor degree and level 7 qualification,45-49 years,Female,9387,
Auckland Region,Post-graduate and honours degrees,45-49 years,Male,1398,
Auckland Region,Post-graduate and honours degrees,45-49 years,Female,1995,
Auckland Region,Masters degree,45-49 years,Male,2385,
Auckland Region,Masters degree,45-49 years,Female,2220,
Auckland Region,Doctorate degree,45-49 years,Male,582,
Auckland Region,Doctorate degree,45-49 years,Female,429,
Auckland Region,Overseas secondary school qualification,45-49 years,Male,5217,
Auckland Region,Overseas secondary school qualification,45-49 years,Female,6318,
Auckland Region,Not elsewhere included,45-49 years,Male,4749,
Auckland Region,Not elsewhere included,45-49 years,Female,4884,
Waikato Region,No qualification,45-49 years,Male,2916,
Waikato Region,No qualification,45-49 years,Female,2364,
Waikato Region,Level 1 certificate,45-49 years,Male,1503,
Waikato Region,Level 1 certificate,45-49 years,Female,2259,
Waikato Region,Level 2 certificate,45-49 years,Male,1056,
Waikato Region,Level 2 certificate,45-49 years,Female,1929,
Waikato Region,Level 3 certificate,45-49 years,Male,516,
Waikato Region,Level 3 certificate,45-49 years,Female,708,
Waikato Region,Level 4 certificate,45-49 years,Male,2382,
Waikato Region,Level 4 certificate,45-49 years,Female,933,
Waikato Region,Level 5 or level 6 diploma,45-49 years,Male,1089,
Waikato Region,Level 5 or level 6 diploma,45-49 years,Female,1446,
Waikato Region,Bachelor degree and level 7 qualification,45-49 years,Male,1062,
Waikato Region,Bachelor degree and level 7 qualification,45-49 years,Female,1854,
Waikato Region,Post-graduate and honours degrees,45-49 years,Male,240,
Waikato Region,Post-graduate and honours degrees,45-49 years,Female,477,
Waikato Region,Masters degree,45-49 years,Male,321,
Waikato Region,Masters degree,45-49 years,Female,333,
Waikato Region,Doctorate degree,45-49 years,Male,141,
Waikato Region,Doctorate degree,45-49 years,Female,99,
Waikato Region,Overseas secondary school qualification,45-49 years,Male,573,
Waikato Region,Overseas secondary school qualification,45-49 years,Female,717,
Waikato Region,Not elsewhere included,45-49 years,Male,1359,
Waikato Region,Not elsewhere included,45-49 years,Female,1233,
Bay of Plenty Region,No qualification,45-49 years,Male,1710,
Bay of Plenty Region,No qualification,45-49 years,Female,1416,
Bay of Plenty Region,Level 1 certificate,45-49 years,Male,990,
Bay of Plenty Region,Level 1 certificate,45-49 years,Female,1491,
Bay of Plenty Region,Level 2 certificate,45-49 years,Male,717,
Bay of Plenty Region,Level 2 certificate,45-49 years,Female,1281,
Bay of Plenty Region,Level 3 certificate,45-49 years,Male,363,
Bay of Plenty Region,Level 3 certificate,45-49 years,Female,531,
Bay of Plenty Region,Level 4 certificate,45-49 years,Male,1578,
Bay of Plenty Region,Level 4 certificate,45-49 years,Female,741,
Bay of Plenty Region,Level 5 or level 6 diploma,45-49 years,Male,699,
Bay of Plenty Region,Level 5 or level 6 diploma,45-49 years,Female,1068,
Bay of Plenty Region,Bachelor degree and level 7 qualification,45-49 years,Male,699,
Bay of Plenty Region,Bachelor degree and level 7 qualification,45-49 years,Female,1239,
Bay of Plenty Region,Post-graduate and honours degrees,45-49 years,Male,144,
Bay of Plenty Region,Post-graduate and honours degrees,45-49 years,Female,342,
Bay of Plenty Region,Masters degree,45-49 years,Male,165,
Bay of Plenty Region,Masters degree,45-49 years,Female,207,
Bay of Plenty Region,Doctorate degree,45-49 years,Male,54,
Bay of Plenty Region,Doctorate degree,45-49 years,Female,21,
Bay of Plenty Region,Overseas secondary school qualification,45-49 years,Male,429,
Bay of Plenty Region,Overseas secondary school qualification,45-49 years,Female,537,
Bay of Plenty Region,Not elsewhere included,45-49 years,Male,996,
Bay of Plenty Region,Not elsewhere included,45-49 years,Female,927,
Gisborne Region,No qualification,45-49 years,Male,345,
Gisborne Region,No qualification,45-49 years,Female,258,
Gisborne Region,Level 1 certificate,45-49 years,Male,147,
Gisborne Region,Level 1 certificate,45-49 years,Female,225,
Gisborne Region,Level 2 certificate,45-49 years,Male,132,
Gisborne Region,Level 2 certificate,45-49 years,Female,186,
Gisborne Region,Level 3 certificate,45-49 years,Male,75,
Gisborne Region,Level 3 certificate,45-49 years,Female,78,
Gisborne Region,Level 4 certificate,45-49 years,Male,213,
Gisborne Region,Level 4 certificate,45-49 years,Female,111,
Gisborne Region,Level 5 or level 6 diploma,45-49 years,Male,78,
Gisborne Region,Level 5 or level 6 diploma,45-49 years,Female,165,
Gisborne Region,Bachelor degree and level 7 qualification,45-49 years,Male,81,
Gisborne Region,Bachelor degree and level 7 qualification,45-49 years,Female,168,
Gisborne Region,Post-graduate and honours degrees,45-49 years,Male,21,
Gisborne Region,Post-graduate and honours degrees,45-49 years,Female,51,
Gisborne Region,Masters degree,45-49 years,Male,21,
Gisborne Region,Masters degree,45-49 years,Female,24,
Gisborne Region,Doctorate degree,45-49 years,Male,3,
Gisborne Region,Doctorate degree,45-49 years,Female,0,
Gisborne Region,Overseas secondary school qualification,45-49 years,Male,36,
Gisborne Region,Overseas secondary school qualification,45-49 years,Female,42,
Gisborne Region,Not elsewhere included,45-49 years,Male,198,
Gisborne Region,Not elsewhere included,45-49 years,Female,195,
Hawke's Bay Region,No qualification,45-49 years,Male,1071,
Hawke's Bay Region,No qualification,45-49 years,Female,930,
Hawke's Bay Region,Level 1 certificate,45-49 years,Male,579,
Hawke's Bay Region,Level 1 certificate,45-49 years,Female,834,
Hawke's Bay Region,Level 2 certificate,45-49 years,Male,429,
Hawke's Bay Region,Level 2 certificate,45-49 years,Female,735,
Hawke's Bay Region,Level 3 certificate,45-49 years,Male,231,
Hawke's Bay Region,Level 3 certificate,45-49 years,Female,324,
Hawke's Bay Region,Level 4 certificate,45-49 years,Male,882,
Hawke's Bay Region,Level 4 certificate,45-49 years,Female,372,
Hawke's Bay Region,Level 5 or level 6 diploma,45-49 years,Male,423,
Hawke's Bay Region,Level 5 or level 6 diploma,45-49 years,Female,594,
Hawke's Bay Region,Bachelor degree and level 7 qualification,45-49 years,Male,438,
Hawke's Bay Region,Bachelor degree and level 7 qualification,45-49 years,Female,735,
Hawke's Bay Region,Post-graduate and honours degrees,45-49 years,Male,90,
Hawke's Bay Region,Post-graduate and honours degrees,45-49 years,Female,171,
Hawke's Bay Region,Masters degree,45-49 years,Male,93,
Hawke's Bay Region,Masters degree,45-49 years,Female,90,
Hawke's Bay Region,Doctorate degree,45-49 years,Male,18,
Hawke's Bay Region,Doctorate degree,45-49 years,Female,18,
Hawke's Bay Region,Overseas secondary school qualification,45-49 years,Male,189,
Hawke's Bay Region,Overseas secondary school qualification,45-49 years,Female,207,
Hawke's Bay Region,Not elsewhere included,45-49 years,Male,573,
Hawke's Bay Region,Not elsewhere included,45-49 years,Female,495,
Taranaki Region,No qualification,45-49 years,Male,909,
Taranaki Region,No qualification,45-49 years,Female,720,
Taranaki Region,Level 1 certificate,45-49 years,Male,435,
Taranaki Region,Level 1 certificate,45-49 years,Female,732,
Taranaki Region,Level 2 certificate,45-49 years,Male,249,
Taranaki Region,Level 2 certificate,45-49 years,Female,519,
Taranaki Region,Level 3 certificate,45-49 years,Male,150,
Taranaki Region,Level 3 certificate,45-49 years,Female,174,
Taranaki Region,Level 4 certificate,45-49 years,Male,765,
Taranaki Region,Level 4 certificate,45-49 years,Female,291,
Taranaki Region,Level 5 or level 6 diploma,45-49 years,Male,279,
Taranaki Region,Level 5 or level 6 diploma,45-49 years,Female,375,
Taranaki Region,Bachelor degree and level 7 qualification,45-49 years,Male,270,
Taranaki Region,Bachelor degree and level 7 qualification,45-49 years,Female,378,
Taranaki Region,Post-graduate and honours degrees,45-49 years,Male,48,
Taranaki Region,Post-graduate and honours degrees,45-49 years,Female,96,
Taranaki Region,Masters degree,45-49 years,Male,54,
Taranaki Region,Masters degree,45-49 years,Female,42,
Taranaki Region,Doctorate degree,45-49 years,Male,12,
Taranaki Region,Doctorate degree,45-49 years,Female,12,
Taranaki Region,Overseas secondary school qualification,45-49 years,Male,114,
Taranaki Region,Overseas secondary school qualification,45-49 years,Female,165,
Taranaki Region,Not elsewhere included,45-49 years,Male,372,
Taranaki Region,Not elsewhere included,45-49 years,Female,336,
Manawatu-Wanganui Region,No qualification,45-49 years,Male,1713,
Manawatu-Wanganui Region,No qualification,45-49 years,Female,1500,
Manawatu-Wanganui Region,Level 1 certificate,45-49 years,Male,876,
Manawatu-Wanganui Region,Level 1 certificate,45-49 years,Female,1203,
Manawatu-Wanganui Region,Level 2 certificate,45-49 years,Male,684,
Manawatu-Wanganui Region,Level 2 certificate,45-49 years,Female,987,
Manawatu-Wanganui Region,Level 3 certificate,45-49 years,Male,285,
Manawatu-Wanganui Region,Level 3 certificate,45-49 years,Female,435,
Manawatu-Wanganui Region,Level 4 certificate,45-49 years,Male,1191,
Manawatu-Wanganui Region,Level 4 certificate,45-49 years,Female,612,
Manawatu-Wanganui Region,Level 5 or level 6 diploma,45-49 years,Male,543,
Manawatu-Wanganui Region,Level 5 or level 6 diploma,45-49 years,Female,756,
Manawatu-Wanganui Region,Bachelor degree and level 7 qualification,45-49 years,Male,534,
Manawatu-Wanganui Region,Bachelor degree and level 7 qualification,45-49 years,Female,864,
Manawatu-Wanganui Region,Post-graduate and honours degrees,45-49 years,Male,141,
Manawatu-Wanganui Region,Post-graduate and honours degrees,45-49 years,Female,225,
Manawatu-Wanganui Region,Masters degree,45-49 years,Male,135,
Manawatu-Wanganui Region,Masters degree,45-49 years,Female,198,
Manawatu-Wanganui Region,Doctorate degree,45-49 years,Male,114,
Manawatu-Wanganui Region,Doctorate degree,45-49 years,Female,69,
Manawatu-Wanganui Region,Overseas secondary school qualification,45-49 years,Male,219,
Manawatu-Wanganui Region,Overseas secondary school qualification,45-49 years,Female,270,
Manawatu-Wanganui Region,Not elsewhere included,45-49 years,Male,693,
Manawatu-Wanganui Region,Not elsewhere included,45-49 years,Female,726,
Wellington Region,No qualification,45-49 years,Male,2154,
Wellington Region,No qualification,45-49 years,Female,1941,
Wellington Region,Level 1 certificate,45-49 years,Male,1335,
Wellington Region,Level 1 certificate,45-49 years,Female,2091,
Wellington Region,Level 2 certificate,45-49 years,Male,1539,
Wellington Region,Level 2 certificate,45-49 years,Female,2298,
Wellington Region,Level 3 certificate,45-49 years,Male,873,
Wellington Region,Level 3 certificate,45-49 years,Female,1011,
Wellington Region,Level 4 certificate,45-49 years,Male,2337,
Wellington Region,Level 4 certificate,45-49 years,Female,1032,
Wellington Region,Level 5 or level 6 diploma,45-49 years,Male,1476,
Wellington Region,Level 5 or level 6 diploma,45-49 years,Female,1827,
Wellington Region,Bachelor degree and level 7 qualification,45-49 years,Male,2586,
Wellington Region,Bachelor degree and level 7 qualification,45-49 years,Female,3321,
Wellington Region,Post-graduate and honours degrees,45-49 years,Male,735,
Wellington Region,Post-graduate and honours degrees,45-49 years,Female,963,
Wellington Region,Masters degree,45-49 years,Male,954,
Wellington Region,Masters degree,45-49 years,Female,978,
Wellington Region,Doctorate degree,45-49 years,Male,300,
Wellington Region,Doctorate degree,45-49 years,Female,192,
Wellington Region,Overseas secondary school qualification,45-49 years,Male,876,
Wellington Region,Overseas secondary school qualification,45-49 years,Female,990,
Wellington Region,Not elsewhere included,45-49 years,Male,1323,
Wellington Region,Not elsewhere included,45-49 years,Female,1230,
Tasman Region,No qualification,45-49 years,Male,294,
Tasman Region,No qualification,45-49 years,Female,252,
Tasman Region,Level 1 certificate,45-49 years,Male,246,
Tasman Region,Level 1 certificate,45-49 years,Female,297,
Tasman Region,Level 2 certificate,45-49 years,Male,165,
Tasman Region,Level 2 certificate,45-49 years,Female,297,
Tasman Region,Level 3 certificate,45-49 years,Male,72,
Tasman Region,Level 3 certificate,45-49 years,Female,120,
Tasman Region,Level 4 certificate,45-49 years,Male,363,
Tasman Region,Level 4 certificate,45-49 years,Female,168,
Tasman Region,Level 5 or level 6 diploma,45-49 years,Male,171,
Tasman Region,Level 5 or level 6 diploma,45-49 years,Female,231,
Tasman Region,Bachelor degree and level 7 qualification,45-49 years,Male,141,
Tasman Region,Bachelor degree and level 7 qualification,45-49 years,Female,240,
Tasman Region,Post-graduate and honours degrees,45-49 years,Male,45,
Tasman Region,Post-graduate and honours degrees,45-49 years,Female,78,
Tasman Region,Masters degree,45-49 years,Male,42,
Tasman Region,Masters degree,45-49 years,Female,54,
Tasman Region,Doctorate degree,45-49 years,Male,9,
Tasman Region,Doctorate degree,45-49 years,Female,9,
Tasman Region,Overseas secondary school qualification,45-49 years,Male,84,
Tasman Region,Overseas secondary school qualification,45-49 years,Female,90,
Tasman Region,Not elsewhere included,45-49 years,Male,141,
Tasman Region,Not elsewhere included,45-49 years,Female,96,
Nelson Region,No qualification,45-49 years,Male,291,
Nelson Region,No qualification,45-49 years,Female,261,
Nelson Region,Level 1 certificate,45-49 years,Male,174,
Nelson Region,Level 1 certificate,45-49 years,Female,261,
Nelson Region,Level 2 certificate,45-49 years,Male,147,
Nelson Region,Level 2 certificate,45-49 years,Female,225,
Nelson Region,Level 3 certificate,45-49 years,Male,69,
Nelson Region,Level 3 certificate,45-49 years,Female,99,
Nelson Region,Level 4 certificate,45-49 years,Male,300,
Nelson Region,Level 4 certificate,45-49 years,Female,150,
Nelson Region,Level 5 or level 6 diploma,45-49 years,Male,162,
Nelson Region,Level 5 or level 6 diploma,45-49 years,Female,231,
Nelson Region,Bachelor degree and level 7 qualification,45-49 years,Male,177,
Nelson Region,Bachelor degree and level 7 qualification,45-49 years,Female,252,
Nelson Region,Post-graduate and honours degrees,45-49 years,Male,69,
Nelson Region,Post-graduate and honours degrees,45-49 years,Female,87,
Nelson Region,Masters degree,45-49 years,Male,48,
Nelson Region,Masters degree,45-49 years,Female,57,
Nelson Region,Doctorate degree,45-49 years,Male,15,
Nelson Region,Doctorate degree,45-49 years,Female,12,
Nelson Region,Overseas secondary school qualification,45-49 years,Male,72,
Nelson Region,Overseas secondary school qualification,45-49 years,Female,102,
Nelson Region,Not elsewhere included,45-49 years,Male,120,
Nelson Region,Not elsewhere included,45-49 years,Female,96,
Marlborough Region,No qualification,45-49 years,Male,291,
Marlborough Region,No qualification,45-49 years,Female,249,
Marlborough Region,Level 1 certificate,45-49 years,Male,180,
Marlborough Region,Level 1 certificate,45-49 years,Female,273,
Marlborough Region,Level 2 certificate,45-49 years,Male,150,
Marlborough Region,Level 2 certificate,45-49 years,Female,228,
Marlborough Region,Level 3 certificate,45-49 years,Male,63,
Marlborough Region,Level 3 certificate,45-49 years,Female,93,
Marlborough Region,Level 4 certificate,45-49 years,Male,285,
Marlborough Region,Level 4 certificate,45-49 years,Female,135,
Marlborough Region,Level 5 or level 6 diploma,45-49 years,Male,123,
Marlborough Region,Level 5 or level 6 diploma,45-49 years,Female,174,
Marlborough Region,Bachelor degree and level 7 qualification,45-49 years,Male,111,
Marlborough Region,Bachelor degree and level 7 qualification,45-49 years,Female,171,
Marlborough Region,Post-graduate and honours degrees,45-49 years,Male,27,
Marlborough Region,Post-graduate and honours degrees,45-49 years,Female,45,
Marlborough Region,Masters degree,45-49 years,Male,21,
Marlborough Region,Masters degree,45-49 years,Female,33,
Marlborough Region,Doctorate degree,45-49 years,Male,3,
Marlborough Region,Doctorate degree,45-49 years,Female,6,
Marlborough Region,Overseas secondary school qualification,45-49 years,Male,60,
Marlborough Region,Overseas secondary school qualification,45-49 years,Female,78,
Marlborough Region,Not elsewhere included,45-49 years,Male,117,
Marlborough Region,Not elsewhere included,45-49 years,Female,135,
West Coast Region,No qualification,45-49 years,Male,333,
West Coast Region,No qualification,45-49 years,Female,291,
West Coast Region,Level 1 certificate,45-49 years,Male,186,
West Coast Region,Level 1 certificate,45-49 years,Female,228,
West Coast Region,Level 2 certificate,45-49 years,Male,117,
West Coast Region,Level 2 certificate,45-49 years,Female,180,
West Coast Region,Level 3 certificate,45-49 years,Male,60,
West Coast Region,Level 3 certificate,45-49 years,Female,75,
West Coast Region,Level 4 certificate,45-49 years,Male,222,
West Coast Region,Level 4 certificate,45-49 years,Female,81,
West Coast Region,Level 5 or level 6 diploma,45-49 years,Male,87,
West Coast Region,Level 5 or level 6 diploma,45-49 years,Female,105,
West Coast Region,Bachelor degree and level 7 qualification,45-49 years,Male,60,
West Coast Region,Bachelor degree and level 7 qualification,45-49 years,Female,96,
West Coast Region,Post-graduate and honours degrees,45-49 years,Male,18,
West Coast Region,Post-graduate and honours degrees,45-49 years,Female,39,
West Coast Region,Masters degree,45-49 years,Male,21,
West Coast Region,Masters degree,45-49 years,Female,21,
West Coast Region,Doctorate degree,45-49 years,Male,3,
West Coast Region,Doctorate degree,45-49 years,Female,3,
West Coast Region,Overseas secondary school qualification,45-49 years,Male,21,
West Coast Region,Overseas secondary school qualification,45-49 years,Female,39,
West Coast Region,Not elsewhere included,45-49 years,Male,141,
West Coast Region,Not elsewhere included,45-49 years,Female,138,
Canterbury Region,No qualification,45-49 years,Male,3309,
Canterbury Region,No qualification,45-49 years,Female,2778,
Canterbury Region,Level 1 certificate,45-49 years,Male,2280,
Canterbury Region,Level 1 certificate,45-49 years,Female,3066,
Canterbury Region,Level 2 certificate,45-49 years,Male,1842,
Canterbury Region,Level 2 certificate,45-49 years,Female,2961,
Canterbury Region,Level 3 certificate,45-49 years,Male,849,
Canterbury Region,Level 3 certificate,45-49 years,Female,1008,
Canterbury Region,Level 4 certificate,45-49 years,Male,3258,
Canterbury Region,Level 4 certificate,45-49 years,Female,1383,
Canterbury Region,Level 5 or level 6 diploma,45-49 years,Male,1782,
Canterbury Region,Level 5 or level 6 diploma,45-49 years,Female,2301,
Canterbury Region,Bachelor degree and level 7 qualification,45-49 years,Male,2049,
Canterbury Region,Bachelor degree and level 7 qualification,45-49 years,Female,2757,
Canterbury Region,Post-graduate and honours degrees,45-49 years,Male,495,
Canterbury Region,Post-graduate and honours degrees,45-49 years,Female,759,
Canterbury Region,Masters degree,45-49 years,Male,591,
Canterbury Region,Masters degree,45-49 years,Female,513,
Canterbury Region,Doctorate degree,45-49 years,Male,228,
Canterbury Region,Doctorate degree,45-49 years,Female,162,
Canterbury Region,Overseas secondary school qualification,45-49 years,Male,969,
Canterbury Region,Overseas secondary school qualification,45-49 years,Female,1230,
Canterbury Region,Not elsewhere included,45-49 years,Male,1512,
Canterbury Region,Not elsewhere included,45-49 years,Female,1323,
Otago Region,No qualification,45-49 years,Male,1161,
Otago Region,No qualification,45-49 years,Female,894,
Otago Region,Level 1 certificate,45-49 years,Male,723,
Otago Region,Level 1 certificate,45-49 years,Female,1182,
Otago Region,Level 2 certificate,45-49 years,Male,564,
Otago Region,Level 2 certificate,45-49 years,Female,906,
Otago Region,Level 3 certificate,45-49 years,Male,300,
Otago Region,Level 3 certificate,45-49 years,Female,357,
Otago Region,Level 4 certificate,45-49 years,Male,1197,
Otago Region,Level 4 certificate,45-49 years,Female,534,
Otago Region,Level 5 or level 6 diploma,45-49 years,Male,549,
Otago Region,Level 5 or level 6 diploma,45-49 years,Female,699,
Otago Region,Bachelor degree and level 7 qualification,45-49 years,Male,723,
Otago Region,Bachelor degree and level 7 qualification,45-49 years,Female,1041,
Otago Region,Post-graduate and honours degrees,45-49 years,Male,174,
Otago Region,Post-graduate and honours degrees,45-49 years,Female,318,
Otago Region,Masters degree,45-49 years,Male,195,
Otago Region,Masters degree,45-49 years,Female,258,
Otago Region,Doctorate degree,45-49 years,Male,147,
Otago Region,Doctorate degree,45-49 years,Female,108,
Otago Region,Overseas secondary school qualification,45-49 years,Male,222,
Otago Region,Overseas secondary school qualification,45-49 years,Female,309,
Otago Region,Not elsewhere included,45-49 years,Male,573,
Otago Region,Not elsewhere included,45-49 years,Female,549,
Southland Region,No qualification,45-49 years,Male,849,
Southland Region,No qualification,45-49 years,Female,663,
Southland Region,Level 1 certificate,45-49 years,Male,462,
Southland Region,Level 1 certificate,45-49 years,Female,759,
Southland Region,Level 2 certificate,45-49 years,Male,288,
Southland Region,Level 2 certificate,45-49 years,Female,489,
Southland Region,Level 3 certificate,45-49 years,Male,102,
Southland Region,Level 3 certificate,45-49 years,Female,153,
Southland Region,Level 4 certificate,45-49 years,Male,606,
Southland Region,Level 4 certificate,45-49 years,Female,225,
Southland Region,Level 5 or level 6 diploma,45-49 years,Male,267,
Southland Region,Level 5 or level 6 diploma,45-49 years,Female,282,
Southland Region,Bachelor degree and level 7 qualification,45-49 years,Male,198,
Southland Region,Bachelor degree and level 7 qualification,45-49 years,Female,348,
Southland Region,Post-graduate and honours degrees,45-49 years,Male,42,
Southland Region,Post-graduate and honours degrees,45-49 years,Female,84,
Southland Region,Masters degree,45-49 years,Male,33,
Southland Region,Masters degree,45-49 years,Female,30,
Southland Region,Doctorate degree,45-49 years,Male,9,
Southland Region,Doctorate degree,45-49 years,Female,3,
Southland Region,Overseas secondary school qualification,45-49 years,Male,90,
Southland Region,Overseas secondary school qualification,45-49 years,Female,105,
Southland Region,Not elsewhere included,45-49 years,Male,288,
Southland Region,Not elsewhere included,45-49 years,Female,261,
Area Outside Region,No qualification,45-49 years,Male,9,
Area Outside Region,No qualification,45-49 years,Female,,c
Area Outside Region,Level 1 certificate,45-49 years,Male,,c
Area Outside Region,Level 1 certificate,45-49 years,Female,,c
Area Outside Region,Level 2 certificate,45-49 years,Male,,c
Area Outside Region,Level 2 certificate,45-49 years,Female,,c
Area Outside Region,Level 3 certificate,45-49 years,Male,,c
Area Outside Region,Level 3 certificate,45-49 years,Female,,c
Area Outside Region,Level 4 certificate,45-49 years,Male,6,
Area Outside Region,Level 4 certificate,45-49 years,Female,,c
Area Outside Region,Level 5 or level 6 diploma,45-49 years,Male,,c
Area Outside Region,Level 5 or level 6 diploma,45-49 years,Female,,c
Area Outside Region,Bachelor degree and level 7 qualification,45-49 years,Male,,c
Area Outside Region,Bachelor degree and level 7 qualification,45-49 years,Female,,c
Area Outside Region,Post-graduate and honours degrees,45-49 years,Male,,c
Area Outside Region,Post-graduate and honours degrees,45-49 years,Female,,c
Area Outside Region,Masters degree,45-49 years,Male,,c
Area Outside Region,Masters degree,45-49 years,Female,,c
Area Outside Region,Doctorate degree,45-49 years,Male,,c
Area Outside Region,Doctorate degree,45-49 years,Female,,c
Area Outside Region,Overseas secondary school qualification,45-49 years,Male,,c
Area Outside Region,Overseas secondary school qualification,45-49 years,Female,,c
Area Outside Region,Not elsewhere included,45-49 years,Male,,c
Area Outside Region,Not elsewhere included,45-49 years,Female,,c
Northland Region,No qualification,50-54 years,Male,1245,
Northland Region,No qualification,50-54 years,Female,1059,
Northland Region,Level 1 certificate,50-54 years,Male,738,
Northland Region,Level 1 certificate,50-54 years,Female,1050,
Northland Region,Level 2 certificate,50-54 years,Male,438,
